"state.name","state","Obama","McCain","EV"
"Alabama","AL",39,60,9
"Alaska","AK",38,59,3
"Arizona","AZ",45,54,10
"Arkansas","AR",39,59,6
"California","CA",61,37,55
"Colorado","CO",54,45,9
"Connecticut","CT",61,38,7
"D.C.","DC",92,7,3
"Delaware","DE",62,37,3
"Florida","FL",51,48,27
"Georgia","GA",47,52,15
"Hawaii","HI",72,27,4
"Idaho","ID",36,62,4
"Illinois","IL",62,37,21
"Indiana","IN",50,49,11
"Iowa","IA",54,44,7
"Kansas","KS",42,57,6
"Kentucky","KY",41,57,8
"Louisiana","LA",40,59,9
"Maine","ME",58,40,4
"Maryland","MD",62,36,10
"Massachusetts","MA",62,36,12
"Michigan","MI",57,41,17
"Minnesota","MN",54,44,10
"Mississippi","MS",43,56,6
"Missouri","MO",48,49,11
"Montana","MT",47,50,3
"Nebraska","NE",42,57,5
"Nevada","NV",55,43,5
"New Hampshire","NH",54,45,4
"New Jersey","NJ",57,42,15
"New Mexico","NM",57,42,5
"New York","NY",63,36,31
"North Carolina","NC",50,49,15
"North Dakota","ND",45,53,3
"Ohio","OH",51,47,20
"Oklahoma","OK",34,66,7
"Oregon","OR",57,40,7
"Pennsylvania","PA",55,44,21
"Rhode Island","RI",63,35,4
"South Carolina","SC",45,54,8
"South Dakota","SD",45,53,3
"Tennessee","TN",42,57,11
"Texas","TX",44,55,34
"Utah","UT",34,63,5
"Vermont","VT",67,30,3
"Virginia","VA",53,46,13
"Washington","WA",58,40,11
"West Virginia","WV",43,56,5
"Wisconsin","WI",56,42,10
"Wyoming","WY",33,65,3
