"chain","location","wageBefore","wageAfter","fullBefore","fullAfter","partBefore","partAfter"
"wendys","PA",5,5.25,20,0,20,36
"wendys","PA",5.5,4.75,6,28,26,3
"burgerking","PA",5,4.75,50,15,35,18
"burgerking","PA",5,5,10,26,17,9
"kfc","PA",5.25,5,2,3,8,12
"kfc","PA",5,5,2,2,10,9
"roys","PA",5,4.75,2.5,1,20,25
"burgerking","PA",5,5,40,9,30,32
"burgerking","PA",5,4.5,8,7,27,39
"burgerking","PA",5.5,4.75,10.5,18,30,10
"burgerking","PA",5,4.5,6,5,9,20
"kfc","PA",5.25,5,5,15,17.5,4
"kfc","PA",5,4.75,1,4,15,13
"roys","PA",5,4.75,10,6,6,20
"roys","PA",5,4.75,20,5,13,15
"roys","PA",5,4.25,5,2,23,19
"roys","PA",5,5,10,2,12.5,18
"roys","PA",5,4.9,27,0,12,30
"roys","PA",5,5,4,8,28,20
"roys","PA",5,4.75,10,10,15,10
"wendys","PA",5,5,0,0,28,31
"roys","PA",5,4.25,3,5.5,16,10
"roys","PA",5,4.75,7,5,16,19
"burgerking","PA",4.25,4.25,21,6,9,25
"burgerking","PA",4.25,4.25,10,7,20,25
"burgerking","PA",4.25,4.25,0,0,27,42
"burgerking","PA",4.5,4.25,17,0,4,22
"burgerking","PA",4.25,4.25,0,11,24,12
"burgerking","PA",4.5,4.25,25,0,15,45
"burgerking","PA",4.25,4.38,6,7.5,20,25
"kfc","PA",4.5,4.75,6,4,10,20
"kfc","PA",4.25,4.25,0,6,15,15
"wendys","PA",4.67,4.5,30,7,10,18
"wendys","PA",4.75,4.5,8,0,25,28
"wendys","PA",4.25,4.25,0,0,15,16
"wendys","PA",4.25,4.25,10,10,20,20
"kfc","PA",4.75,4.25,2,1,12,14
"burgerking","PA",4.25,4.25,20,0,25,48
"burgerking","PA",4.5,5.05,20,25,55,10
"burgerking","PA",4.25,4.25,15,19,50,29
"burgerking","PA",4.25,4.25,1,0,37.5,32
"kfc","PA",4.25,4.25,0,2,9,9
"wendys","PA",4.25,4.25,30,0,10,30
"wendys","PA",4.25,4.35,4,5,19,20
"wendys","PA",4.25,4.5,12,10,20,35
"burgerking","PA",4.75,4.5,8,8,18,27
"burgerking","PA",4.87,5,0,15,25,15
"burgerking","PA",4.75,4.75,2,27.5,21,8
"kfc","PA",4.5,5,1,0,9,18
"roys","PA",4.25,4.35,5,0,20,20
"burgerking","PA",4.25,4.25,25,12,20,23
"burgerking","PA",4.25,4.9,37.5,8,2,25
"burgerking","PA",4.75,4.5,5,26,27,15
"burgerking","PA",4.5,4.5,25,10,8,16
"burgerking","PA",4.25,4.75,6,5,30,30
"burgerking","PA",4.25,6.25,8,6,28,20
"burgerking","PA",4.5,4.35,32,8,25,30
"kfc","PA",4.5,4.5,1,4,9,12
"roys","PA",4.5,4.5,2,4,16,15
"wendys","PA",4.75,5,20,21,10,5.5
"burgerking","PA",4.25,4.75,14,30,15,15
"burgerking","PA",4.75,4.5,7.5,35,14,6.5
"roys","PA",4.75,4.75,4,3,16,13
"roys","PA",4.5,4.25,5,23,20,16
"roys","PA",4.75,4.91,6,2,22.5,12
"burgerking","PA",4.25,4.4,2.5,0,20,12
"burgerking","PA",4.35,4.25,2,3,30,23
"roys","centralNJ",5,5.05,2,5,2,2
"kfc","centralNJ",5.12,5.05,10,4,8,17
"burgerking","northNJ",5.56,5.05,30,10,15,20
"kfc","centralNJ",5,5.05,4,0,10,7
"kfc","northNJ",5,5.05,6,4,4,3
"kfc","centralNJ",5.25,5.05,4,6,16,15
"roys","northNJ",5,5.05,12,6,20,11
"wendys","centralNJ",5.5,5.05,8,10,12,35
"roys","northNJ",5,5.05,6,4,50,60
"roys","northNJ",5,5.05,13,10,10,12
"wendys","northNJ",5,5.05,25,0,13,45
"wendys","northNJ",5,5.05,8,25,14.5,8
"burgerking","shoreNJ",5.5,5.05,7,0,20,35
"burgerking","centralNJ",5,5.5,10,6,6,25
"kfc","centralNJ",5,5.05,0,2,25,20
"wendys","northNJ",5,5.05,4,5,26,25
"kfc","centralNJ",5,5.05,6.5,3,7.5,16
"roys","centralNJ",5.25,5.05,20,7,20,18
"roys","centralNJ",5.5,5.05,15,8,25,22
"wendys","centralNJ",5.05,5.05,10,4,30,37
"burgerking","northNJ",5,5.28,5,10,17,8
"burgerking","northNJ",5.12,5.25,8.5,6,6.5,0
"burgerking","northNJ",5.25,5.05,4.5,7.5,30,30
"burgerking","northNJ",5.12,5.05,35,12,15,13.5
"kfc","northNJ",5,5.5,10,12,5,8
"roys","northNJ",5,5.05,8,26,25,12
"roys","northNJ",5,5.05,12,1.5,18,33
"roys","northNJ",5,5.05,4,5,30,15
"wendys","northNJ",5,5.05,20,10,10,17
"burgerking","northNJ",5,5.05,12,20,33,6
"burgerking","northNJ",5,5.05,10,20,20,20
"roys","shoreNJ",5.62,5.05,4,5,20,17.5
"roys","northNJ",5,5.05,5,7,42,30
"wendys","northNJ",5,5.05,8,0,19,30
"burgerking","northNJ",5,5.05,23,5,10,21
"burgerking","northNJ",5,5.05,0,10,10,4
"roys","northNJ",5.1,5.05,15,15,35,15
"roys","northNJ",5.25,5.05,25,12,10,10
"roys","northNJ",5.5,5.05,15,8,8,12
"burgerking","southNJ",5,5.05,13,15,12,15
"burgerking","southNJ",5,5.05,10,0,18,42.5
"kfc","southNJ",5,5.05,0,0,13,15
"kfc","southNJ",5.05,5.25,4,2,11,14
"kfc","southNJ",5.5,5.05,0,3,15,7
"kfc","southNJ",5,5.05,5,5,10,15
"burgerking","northNJ",5.3,5.05,5,4,16,9
"kfc","northNJ",5,5.05,3,6,8,12
"kfc","northNJ",5,5.05,8,2,12,7
"kfc","shoreNJ",5,5.05,5,4,9,6
"kfc","shoreNJ",5,5.05,3,4,14,11
"roys","southNJ",5.25,5.05,20,22,46,39
"roys","shoreNJ",5.15,5.05,18,0,45,45
"wendys","shoreNJ",5.42,5.67,4,3,16,20
"burgerking","southNJ",5,5.05,10,0,10,20
"roys","southNJ",5,5.05,2.5,0,27,20
"wendys","southNJ",5.06,5.05,14,9,7,7
"wendys","southNJ",5.05,5.05,11.5,0,10,28
"wendys","northNJ",5,5.25,4.5,21,20,6
"burgerking","northNJ",5,5.25,12,11,23,22
"burgerking","northNJ",5,5.05,14,18,12,15
"burgerking","northNJ",5.25,5.5,25,0,10,25
"burgerking","northNJ",5,5.05,10,20,8,15
"burgerking","northNJ",5,5.05,10,15,20,15
"roys","northNJ",5.05,5.05,13,11,31,23
"wendys","northNJ",5,5.5,12,17,35,22
"wendys","northNJ",5.75,5.5,5,8,10,7
"burgerking","northNJ",5,5.05,3,0,60,15
"burgerking","centralNJ",4.5,5.05,16,20,30,40
"burgerking","centralNJ",4.75,5.25,10,7.5,6,10
"kfc","centralNJ",4.25,5.05,6,4,13,7
"roys","centralNJ",4.75,5.05,10,5,12,30
"roys","centralNJ",4.5,5.15,5,10,30,30
"burgerking","centralNJ",4.37,5.05,12,0,40,32
"burgerking","centralNJ",4.25,5.05,15,15,20,15
"burgerking","centralNJ",4.25,5.05,10,12,30,24
"burgerking","centralNJ",4.37,5.05,6.5,15,23.5,15
"kfc","centralNJ",4.5,5,0,2,25,11
"roys","centralNJ",4.6,5.05,3,5,25,20
"roys","centralNJ",4.5,5.05,6,7,22,17
"roys","centralNJ",4.37,5.05,0,4,20,35
"roys","centralNJ",4.25,5.05,15,8,25,38
"burgerking","southNJ",4.25,5.05,4,6,31,44
"kfc","southNJ",4.45,5.05,5,0,12,11
"roys","southNJ",4.35,5.05,3,3,15,15
"burgerking","northNJ",4.5,5.05,0,14,25,14
"burgerking","centralNJ",4.75,5.05,15,15,15,20
"kfc","northNJ",4.5,5.05,0,0,7,13
"roys","northNJ",4.5,5.05,10,2,20.5,25
"roys","northNJ",4.95,5.05,5,11,15,7
"wendys","northNJ",4.5,5.05,25,13,6.5,18
"burgerking","centralNJ",4.25,5.05,15,10,20,20
"burgerking","northNJ",4.25,5.05,26,15,6,10
"burgerking","northNJ",4.5,5.05,20,13,15,13
"burgerking","northNJ",4.25,5.05,15,26,18,10
"burgerking","northNJ",4.5,5.05,5,4,15,17.5
"burgerking","northNJ",4.25,5.05,30,13,10,17
"burgerking","northNJ",4.25,5.05,0,0,27,27
"burgerking","northNJ",4.5,5.05,35,10,20,30
"burgerking","northNJ",4.75,5.05,0,29,35,14
"kfc","northNJ",4.25,5.05,0,14,7,0
"kfc","northNJ",4.25,5.05,3,4,15,11
"roys","northNJ",4.25,5.05,8,25,32,15
"roys","northNJ",4.5,5.05,6,8,25,18
"wendys","northNJ",4.25,5.05,4.5,11,20,14
"burgerking","centralNJ",4.5,5.05,4,12,30,30
"burgerking","centralNJ",4.25,5.05,11,9,11,12
"burgerking","shoreNJ",4.5,5.05,0,0,15,30
"burgerking","southNJ",4.25,5.05,3,4,35,37
"burgerking","shoreNJ",4.25,5.05,8,0,22,30
"burgerking","shoreNJ",4.25,5.05,4,14,18,6
"burgerking","northNJ",4.25,5.05,2.5,5,30,25
"kfc","centralNJ",4.25,5.05,18,0,3,14
"kfc","northNJ",4.25,5.05,0,0,15,15
"kfc","centralNJ",4.25,5.05,0,2.5,12,11
"kfc","shoreNJ",4.25,5.05,0,3,20,13
"roys","shoreNJ",4.75,5.05,60,30,40,50
"roys","shoreNJ",4.75,5.05,4.5,10,15,12
"roys","southNJ",4.4,5.05,12,0,13,27
"wendys","shoreNJ",4.62,5.05,40,11,20,10
"burgerking","northNJ",4.25,5.05,0,0,40,45
"burgerking","northNJ",4.25,5.05,0,2,35,25
"burgerking","northNJ",4.25,5.05,6,13.5,11,10
"burgerking","northNJ",4.25,5.05,13.5,11,15,24
"roys","northNJ",4.25,5.05,17,20,14,14.5
"burgerking","centralNJ",4.75,5.25,0,20,35,40
"burgerking","centralNJ",4.75,5.05,20,6,25,15
"burgerking","centralNJ",4.25,5.05,4,22,22.5,12
"burgerking","northNJ",4.25,5.05,10,18,15,20
"burgerking","northNJ",4.75,5.05,12,18,19,13
"burgerking","centralNJ",4.5,5.05,0,0,32,30
"burgerking","northNJ",4.25,5.05,1,10,38,50
"burgerking","centralNJ",4.25,5.05,8,21,10,6
"kfc","centralNJ",4.5,5.05,15,0,0,15
"roys","centralNJ",4.5,5.05,7,2,25.5,38
"roys","centralNJ",4.5,5.5,20,15,20,20
"roys","centralNJ",4.75,5.05,6,3,16,20
"roys","centralNJ",4.62,5.05,5.5,6,25,27.5
"roys","northNJ",4.25,5.05,15,12,25,30
"wendys","centralNJ",4.5,5.67,0,5,40,35
"wendys","centralNJ",4.75,5.05,10,10,15,25
"wendys","northNJ",4.25,5.05,15,40,35,31
"burgerking","northNJ",4.8,5.05,8,0,20,32
"burgerking","northNJ",4.5,5.05,0,8,20,10
"burgerking","northNJ",4.67,5.75,0,12,27.5,20
"burgerking","northNJ",4.87,5.05,8,2,15,18
"kfc","northNJ",4.5,5.05,2,3,7,4
"kfc","northNJ",4.5,5.25,6,10,12,5
"roys","northNJ",4.75,5.05,0,3,40,30
"wendys","northNJ",4.75,5.05,8,0,32,35
"burgerking","northNJ",4.25,5.25,5,0,20,32
"burgerking","shoreNJ",4.25,5.05,2,10,32,12.5
"burgerking","northNJ",4.75,5.05,0,7,24,23
"burgerking","northNJ",4.85,5.05,6,11,40,30
"burgerking","shoreNJ",4.75,5.05,11,20,20,20
"burgerking","northNJ",4.62,5.05,15,20,21,27.5
"kfc","shoreNJ",4.25,5.05,13,1,12,10
"kfc","northNJ",4.25,5.05,2,2,12,10
"kfc","shoreNJ",4.5,5.05,8,0,3,17.5
"kfc","shoreNJ",4.5,5.05,3,0,15,15
"kfc","northNJ",4.62,5.05,12,15,4,10
"kfc","shoreNJ",4.5,5.05,2,2,9,6
"roys","northNJ",4.75,5.05,10,12,20,18
"roys","northNJ",4.75,5.05,4,0,15,19
"wendys","northNJ",4.87,5.25,20,4.5,10,30
"wendys","shoreNJ",4.5,5.05,1,4,13,9
"wendys","shoreNJ",4.25,5.05,0,8,30,25
"kfc","northNJ",4.35,5.05,0,11,12,3
"burgerking","northNJ",4.25,5.05,0,5,60,40
"burgerking","northNJ",4.5,5.05,0,16,33,22
"burgerking","northNJ",4.25,5.05,30,13,14,11
"burgerking","northNJ",4.25,5.05,9,4,12,34
"burgerking","northNJ",4.25,5.05,10,12,8.5,13.5
"kfc","northNJ",4.75,5.2,8,8.5,10,6
"roys","northNJ",4.62,5.05,12,5,32,32
"roys","northNJ",4.25,5.05,4,6,36,37
"wendys","northNJ",4.5,5.05,0,0,19,14
"burgerking","southNJ",4.5,5.05,3,2,28,35
"burgerking","southNJ",4.5,5.05,11,20,17.5,15
"burgerking","southNJ",4.55,5.05,4.5,12,20,17.5
"burgerking","southNJ",4.62,5.05,2,0,30,35
"burgerking","southNJ",4.5,5.05,10,20,10,10
"kfc","southNJ",4.25,5.05,2,2,11,18
"kfc","southNJ",4.25,5.05,2,0,13,12
"kfc","southNJ",4.35,5.05,7,5,4,3
"kfc","southNJ",4.25,5.05,3,9,9,9
"kfc","southNJ",4.25,5.05,3,3,15,12
"kfc","southNJ",4.6,5.05,1,1,28,15
"roys","southNJ",4.25,5.05,2,2,24,15
"roys","southNJ",4.75,5.05,3,3,18,20
"roys","southNJ",4.75,5.05,3,12,27,25
"wendys","southNJ",4.25,5.3,0,0,22,26
"wendys","southNJ",4.5,5.05,3,11,28.5,19
"burgerking","northNJ",4.5,5.5,3,22,40,11
"burgerking","northNJ",4.25,5.05,0,15,25,17
"burgerking","northNJ",4.75,5.05,18,18,6,10
"burgerking","northNJ",4.65,5.05,19,15,7,7
"burgerking","northNJ",4.25,5.05,12,9,11,17
"kfc","northNJ",4.75,5.05,0,25,22,15
"kfc","northNJ",4.25,5.05,15,0,4,19
"roys","northNJ",4.5,5.05,7,7,25,22
"roys","northNJ",4.25,5.05,12,16,30,12
"wendys","northNJ",4.5,5.05,0,0,40,40
"wendys","northNJ",4.75,5.05,8,10,16,14
"burgerking","shoreNJ",4.37,5.05,6,10,6,12
"kfc","shoreNJ",4.5,5.05,1,2,4,4
"roys","southNJ",4.87,5.05,7,4,7,8
"burgerking","southNJ",4.25,5.05,4,20,22,18
"burgerking","southNJ",4.25,5.05,10,4,20,26
"burgerking","southNJ",4.25,5.05,7,0,13,22.5
"burgerking","southNJ",4.25,5.05,0,0,10,23
"burgerking","southNJ",4.25,5.05,6.5,30,20,25
"kfc","southNJ",4.45,5.05,2,10,10,3
"kfc","southNJ",4.62,5.05,2,2,14,11
"kfc","southNJ",4.25,5.05,4,1,4,8
"kfc","southNJ",4.25,5.05,2,1,15,14
"kfc","southNJ",4.25,5.05,3,0,4,9
"roys","southNJ",4.5,5.05,5,6,23,12
"roys","southNJ",4.75,5.05,3,3,25,15
"roys","southNJ",4.75,5.05,1,2,15,15
"roys","southNJ",4.5,5.05,3,2,18,15
"roys","southNJ",4.75,5.05,0,5,20,9
"roys","southNJ",4.25,5.05,2,3,12,10
"wendys","southNJ",4.75,5.05,8,0,12,23
"wendys","southNJ",4.55,5.1,4,5,20,16
"wendys","shoreNJ",4.8,5.05,10,15,15,11
"burgerking","northNJ",4.25,5.05,9,15,15,30
"roys","northNJ",4.35,5.05,10,12,35,35
"roys","northNJ",4.5,5.05,10,10,20,15
"roys","northNJ",4.39,5.05,0,5,20,22
"roys","northNJ",4.25,5.2,17.5,25,17.5,25
"wendys","northNJ",4.25,5.05,0,3,28,23
"burgerking","shoreNJ",4.25,5.05,4,3,6,2
"burgerking","shoreNJ",4.5,5.05,11,0,9,30
"burgerking","shoreNJ",4.62,5.25,8,15,12,6
"burgerking","shoreNJ",4.62,5.05,15,12,15,14
"burgerking","shoreNJ",4.25,5.05,0,4,8,0
"kfc","shoreNJ",4.75,5.05,5,7,7,6
"kfc","shoreNJ",4.62,5.05,0,22,11,4
"roys","shoreNJ",4.75,5.05,8,12,13,5
"roys","shoreNJ",4.5,5.05,4,1,15,15
"burgerking","centralNJ",4.25,5.05,2,3,16.5,20
"burgerking","southNJ",4.5,5.05,28,10,12,20
"burgerking","southNJ",4.87,5.05,5,25,29.5,5
"burgerking","southNJ",4.25,5.05,18,5,6,9
"burgerking","southNJ",4.25,5.05,6,15,30,17
"kfc","southNJ",4.62,5.05,2,3,7,7
"kfc","southNJ",4.75,5.05,10,4,6,11
"roys","southNJ",4.75,5.05,8,5,9,20
"roys","southNJ",4.25,5.05,2,10,27.5,20
"burgerking","southNJ",4.25,5.05,0,0,22,26
"burgerking","southNJ",4.25,5.05,3,5,25,32
"burgerking","southNJ",4.25,5.05,6,4,13,23
"kfc","southNJ",4.25,5.05,6,24,13,4
"kfc","southNJ",4.25,5.2,0,14,25,7
"kfc","southNJ",4.25,5.05,3.5,1,20,30
"roys","southNJ",4.5,5.05,2,1,17,19
"wendys","southNJ",4.25,5.05,0,0,20,25
"burgerking","northNJ",4.85,5.05,20,26,11.5,5
"burgerking","northNJ",4.5,5.05,4,0,10,17
"burgerking","northNJ",4.25,5.05,12,11,6,12
"burgerking","northNJ",4.62,5.05,20,28,12,6
"burgerking","northNJ",4.5,5.05,10,15,15,14
"burgerking","northNJ",4.5,5.05,6,7,4,2
"burgerking","northNJ",4.25,5.05,16,15,14,14
"burgerking","northNJ",4.25,5.05,0,14,19,10
"kfc","northNJ",4.25,5.05,15,12,5,7
"kfc","northNJ",4.62,5.25,4,18,10,4
"roys","northNJ",4.87,5.4,24,8,16,30
"roys","northNJ",4.25,5.05,4,6,28,15
"roys","northNJ",4.75,5.05,14,25,13,15
"roys","northNJ",4.87,5.05,13,18,8,18
"roys","northNJ",4.5,5.05,16,8,15,24
"roys","northNJ",4.25,5.05,8,5,6,27
"roys","northNJ",4.75,5.05,11,17,10,5
"roys","northNJ",4.32,5.05,6,1.5,17,15
"burgerking","northNJ",4.25,5.05,0,0,35,35
"burgerking","northNJ",4.5,5.05,0,4,36,36
"kfc","centralNJ",4.5,5.05,0,0,17,13
"burgerking","northNJ",4.25,5.05,0,0,36,20
"burgerking","northNJ",4.25,5.05,0,13,36,9
"burgerking","northNJ",4.25,5.05,8,0,32,38
"burgerking","northNJ",4.25,5.05,4,13,28,17
"burgerking","northNJ",4.25,5.05,30,0,15,35
"kfc","northNJ",4.25,5.05,3,5,10,5
"kfc","northNJ",4.62,5.05,20,25,10,7
"kfc","northNJ",4.75,5.05,0,5,7,10
"kfc","northNJ",4.95,5.25,2,19,10,3.5
"kfc","northNJ",4.75,5.25,3.5,12,6.5,3
"roys","northNJ",4.25,5.05,3,5,33,25
"wendys","northNJ",4.75,5.05,7,0,8,35
"wendys","northNJ",4.62,5.14,0,10,33,24
