"id.p","cond.s","out.s","cond.p","out.p"
4,4,4,4,2
8,2,20,2,20
11,4,5,4,2
12,3,5,3,3
22,3,18,3,7
24,2,7,2,2
25,2,10,1,8
30,3,24,3,12
31,2,8,2,6
33,5,9,5,9
40,4,3,2,2
46,1,7,1,7
66,3,7,3,7
69,3,13,3,7
71,2,8,2,8
80,4,12,4,9
82,2,20,2,6
83,3,5,0,0
89,2,1,1,1
96,3,16,3,16
97,3,1,3,1
99,3,14,2,9
104,4,4,4,4
107,7,20,5,14
111,4,3,4,3
115,1,8,1,1
118,3,5,3,2
119,6,2,2,2
123,2,11,2,4
124,3,2,3,1
127,2,4,2,2
138,4,1,4,1
141,2,6,2,6
145,2,4,1,4
155,2,9,2,6
156,3,4,3,3
157,4,11,2,4
172,2,9,2,3
177,4,9,3,3
178,4,12,4,12
191,3,13,3,13
193,4,7,3,5
198,2,18,1,3
202,7,7,4,3
216,2,5,2,5
219,4,15,4,11
228,2,9,2,8
229,3,5,3,5
232,6,8,5,4
237,3,1,2,1
243,3,1,3,1
246,3,11,3,11
252,2,14,2,4
