"screen_name","name","party","state"
"SenAlexander","Lamar Alexander","R","TN"
"RoyBlunt","Roy Blunt","R","MO"
"SenatorBoxer","Barbara Boxer","D","CA"
"SenSherrodBrown","Sherrod Brown","D","OH"
"SenatorBurr","Richard Burr","R","NC"
"SenatorBaldwin","Tammy Baldwin","D","WI"
"JohnBoozman","John Boozman","R","AR"
"SenJohnBarrasso","John Barrasso","R","WY"
"SenBennetCO","Michael F. Bennet","D","CO"
"SenBlumenthal","Richard Blumenthal","D","CT"
"SenBookerOfc","Cory A. Booker","D","NJ"
"SenatorCantwell","Maria Cantwell","D","WA"
"SenatorCardin","Benjamin L. Cardin","D","MD"
"SenatorCarper","Thomas R. Carper","D","DE"
"SenDanCoats","Daniel Coats","R","IN"
"SenThadCochran","Thad Cochran","R","MS"
"MikeCrapo","Mike Crapo","R","ID"
"SenatorCollins","Susan M. Collins","R","ME"
"SenCapito","Shelley Moore Capito","R","WV"
"JohnCornyn","John Cornyn","R","TX"
"SenBobCasey","Robert P. Casey, Jr.","D","PA"
"SenBobCorker","Bob Corker","R","TN"
"SenCoonsOffice","Christopher A. Coons","D","DE"
"SenTomCotton","Tom Cotton","R","AR"
"SenTedCruz","Ted Cruz","R","TX"
"SenatorDurbin","Richard J. Durbin","D","IL"
"SenDonnelly","Joe Donnelly","D","IN"
"SteveDaines","Steve Daines","R","MT"
"SenatorEnzi","Michael B. Enzi","R","WY"
"SenJoniErnst","Joni Ernst","R","IA"
"SenFeinstein","Dianne Feinstein","D","CA"
"JeffFlake","Jeff Flake","R","AZ"
"SenatorFischer","Deb Fischer","R","NE"
"ChuckGrassley","Chuck Grassley","R","IA"
"SenCoryGardner","Cory Gardner","R","CO"
"SenOrrinHatch","Orrin G. Hatch","R","UT"
"SenDeanHeller","Dean Heller","R","NV"
"maziehirono","Mazie K. Hirono","D","HI"
"MartinHeinrich","Martin Heinrich","D","NM"
"SenJohnHoeven","John Hoeven","R","ND"
"SenatorHeitkamp","Heidi Heitkamp","D","ND"
"InhofePress","James M. Inhofe","R","OK"
"SenatorIsakson","Johnny Isakson","R","GA"
"SenRonJohnson","Ron Johnson","R","WI"
"SenatorKirk","Mark Kirk","R","IL"
"SenAngusKing","Angus King","I","ME"
"SenKaineOffice","Tim Kaine","D","VA"
"SenatorLeahy","Patrick J. Leahy","D","VT"
"SenatorLankford","James Lankford","R","OK"
"SenMikeLee","Mike Lee","R","UT"
"SenJohnMcCain","John McCain","R","AZ"
"McConnellPress","Mitch McConnell","R","KY"
"SenatorMenendez","Robert Menendez","D","NJ"
"SenatorBarb","Barbara A. Mikulski","D","MD"
"JerryMoran","Jerry Moran","R","KS"
"PattyMurray","Patty Murray","D","WA"
"lisamurkowski","Lisa Murkowski","R","AK"
"ChrisMurphyCT","Christopher Murphy","D","CT"
"McCaskillOffice","Claire McCaskill","D","MO"
"SenJeffMerkley","Jeff Merkley","D","OR"
"Sen_JoeManchin","Joe Manchin, III","D","WV"
"SenBillNelson","Bill Nelson","D","FL"
"senrobportman","Rob Portman","R","OH"
"SenGaryPeters","Gary Peters","D","MI"
"sendavidperdue","David Perdue","R","GA"
"SenJackReed","Jack Reed","D","RI"
"SenatorReid","Harry Reid","D","NV"
"SenPatRoberts","Pat Roberts","R","KS"
"SenatorRisch","James E. Risch","R","ID"
"SenRubioPress","Marco Rubio","R","FL"
"SenatorRounds","Mike Rounds","R","SD"
"SenSanders","Bernard Sanders","I","VT"
"SenSchumer","Charles E. Schumer","D","NY"
"SenShelby","Richard C. Shelby","R","AL"
"SenStabenow","Debbie Stabenow","D","MI"
"SenatorSessions","Jeff Sessions","R","AL"
"SenatorShaheen","Jeanne Shaheen","D","NH"
"SenatorTimScott","Tim Scott","R","SC"
"SenBrianSchatz","Brian Schatz","D","HI"
"SenSasse","Ben Sasse","R","NE"
"SenDanSullivan","Daniel Sullivan","R","AK"
"SenJohnThune","John Thune","R","SD"
"SenToomey","Patrick J. Toomey","R","PA"
"SenatorTester","Jon Tester","D","MT"
"SenThomTillis","Thom Tillis","R","NC"
"SenatorTomUdall","Tom Udall","D","NM"
"SenatorWicker","Roger F. Wicker","R","MS"
"RonWyden","Ron Wyden","D","OR"
"SenWhitehouse","Sheldon Whitehouse","D","RI"
"MarkWarner","Mark R. Warner","D","VA"
"SenWarren","Elizabeth Warren","D","MA"
